[Log]OutLog Start
[Log]21:57:31.843-2: [Common/tools.lua:50]:-----------初始化BaseCtrl    Fight/FightView    table:0x15173A40
[Log]21:57:37.185-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    7    false
[Log]21:57:37.186-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    5    5
[Log]21:57:37.187-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    6    false
[Log]21:57:37.188-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    6    false
[Log]21:57:37.189-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    7    false
[Log]21:57:37.190-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    5    4
[Log]21:57:37.191-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    6    6
[Log]21:57:37.192-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    6    false
[Log]21:57:37.193-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    7    false
[Log]21:57:37.194-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    3
[Log]21:57:37.195-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    6    7
[Log]21:57:37.196-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    6    false
[Log]21:57:37.197-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    7    false
[Log]21:57:37.198-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    5    false
[Log]21:57:37.200-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    6    8
[Log]21:57:37.201-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    6    false
[Log]21:57:37.202-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    6    9
[Log]21:57:37.203-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:37.204-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    3
[Log]21:57:37.205-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    5    false
[Log]21:57:37.206-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    6    false
[Log]21:57:37.207-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    4    false
[Log]21:57:37.208-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    5    10
[Log]21:57:37.209-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    6    5    false
[Log]21:57:37.210-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    5    11
[Log]21:57:37.211-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    3    false
[Log]21:57:37.212-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:37.213-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    6    4    false
[Log]21:57:37.214-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    4    12
[Log]21:57:37.215-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    2    false
[Log]21:57:37.216-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    false
[Log]21:57:37.217-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    6    3    false
[Log]21:57:37.218-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:37.219-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    false
[Log]21:57:37.221-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    1
[Log]21:57:37.222-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    3    13
[Log]21:57:37.223-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    14
[Log]21:57:37.224-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    false
[Log]21:57:37.225-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:37.227-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    2    false
[Log]21:57:37.228-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    15
[Log]21:57:37.229-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    0    false
[Log]21:57:37.230-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    false
[Log]21:57:37.231-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    1    false
[Log]21:57:37.232-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:37.233-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    0    false
[Log]21:57:37.234-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    false
[Log]21:57:37.235-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    16
[Log]21:57:37.236-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    false
[Log]21:57:37.237-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    0    false
[Log]21:57:37.238-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:37.239-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    17
[Log]21:57:37.240-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:37.242-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    18
[Log]21:57:37.243-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    false
[Log]21:57:37.244-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:37.244-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    3    false
[Log]21:57:37.245-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:37.246-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    2    false
[Log]21:57:37.247-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    19
[Log]21:57:37.248-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    4    false
[Log]21:57:37.249-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    20
[Log]21:57:37.250-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    3    false
[Log]21:57:37.251-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:37.673-388: [Scene/Fight/CardAiAction.lua:76]:----移动    3    4    哪吒
[Log]21:57:37.883-403: [Common/tools.lua:50]:---寻路    3    4    1    3
[Log]21:57:37.885-403: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]21:57:37.886-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    false
[Log]21:57:37.888-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    false
[Log]21:57:37.889-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    4    false
[Log]21:57:37.890-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:37.891-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    4    1
[Log]21:57:37.892-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:37.893-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:37.894-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    false
[Log]21:57:37.895-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:37.896-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    false
[Log]21:57:37.897-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    2
[Log]21:57:37.898-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    3    false
[Log]21:57:37.899-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    3
[Log]21:57:37.900-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    false
[Log]21:57:37.901-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:37.902-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    2    false
[Log]21:57:37.903-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    4
[Log]21:57:37.904-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    0    false
[Log]21:57:37.905-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    false
[Log]21:57:37.906-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    1    false
[Log]21:57:37.907-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:37.908-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    0    false
[Log]21:57:37.909-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    false
[Log]21:57:37.910-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    5
[Log]21:57:37.911-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    false
[Log]21:57:37.912-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    0    false
[Log]21:57:37.914-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:37.915-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    6
[Log]21:57:37.916-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:37.917-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    7
[Log]21:57:37.918-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    false
[Log]21:57:37.919-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:37.920-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    3    false
[Log]21:57:37.921-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:37.923-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    2    false
[Log]21:57:37.924-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    8
[Log]21:57:37.925-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    4    false
[Log]21:57:37.926-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    9
[Log]21:57:37.927-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    3    false
[Log]21:57:37.928-403: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]~NetworkManager was destroy
[Log]~ResourceManager was destroy!
[Log]22:00:17.414-0: Lua function Network.Unload not exists
[Log]22:00:17.423-0: LuaState destroy
[Log]~GameManager was destroyed
[Log]OutLog Finish
